Event	ID	Name			Wwise Object Path	Notes
	327928446	elevator_drive			\Default Work Unit\elevator_drive	
	1136349558	metal_building_wind			\Default Work Unit\metal_building_wind	
	1208976610	elevator_start			\Default Work Unit\elevator_start	
	1755348276	zeppelin			\Default Work Unit\zeppelin	
	2818913498	elevator_stop			\Default Work Unit\elevator_stop	
	3423202681	rain_on_metal			\Default Work Unit\rain_on_metal	
	4223356368	building_creak			\Default Work Unit\building_creak	
	4242192989	elevator_land			\Default Work Unit\elevator_land	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	509047898	Rain metal_mix2	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Rain metal_mix2_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Rain metal_mix2		17356864
	611558284	Elevator land_new	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Elevator land_new_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Elevator_land\Elevator land_new		1296064
	694582602	Metal creak continuous_mix2	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal creak continuous_mix2_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak continuous_mix2		22746064
	844800039	Elevator motor	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal building\Elevator motor_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Elevator drive\Elevator motor		4992064
	869806088	Zeppeliner propel	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal building\Zeppeliner propel_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Zeppelin\Zeppeliner propel		3413176
	896620618	Heavy wind_mix2	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Heavy wind_mix2_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Heavy wind_mix2		11904064
	897633259	Metal creak 7	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal creak single\Metal creak 7_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 7		1152064
	922830189	Metal creak 1	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal creak single\Metal creak 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 1		1440064
	1049331800	Metal creak 3	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal creak single\Metal creak 3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 3		1344064

